date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:56:04	709/709	---M-Z	200	added ('OK')	text/plain	date:Tue,%2007%20Oct%202025%2015:24:10%20GMT	https://www.bratgenerator.com/robots.txt		(from )
08:56:05	59200/59200	---M-Z	200	added ('OK')	text/html	etag:%221785127491%22	https://www.bratgenerator.com/	/storage/emulated/0/HTTrack/Websites/bratgen/www.bratgenerator.com/index.html	(from )
08:56:05	35368/35368	---M--	200	added ('OK')	image/jpeg	date:Sat,%2002%20Mar%202024%2007:52:21%20GMT	https://www.bratgenerator.com/sites/g/files/g2000017981/files/2024-03/022924_brat_socials_OG.jpg	/storage/emulated/0/HTTrack/Websites/bratgen/www.bratgenerator.com/sites/g/files/g2000017981/files/2024-03/022924_brat_socials_OG.jpg	(from https://www.bratgenerator.com/)
08:56:07	4770/4770	---M-Z	200	added ('OK')	text/css	date:Sun,%2002%20Aug%202026%2001:56:06%20GMT	https://use.typekit.net/lae6hxw.css	/storage/emulated/0/HTTrack/Websites/bratgen/use.typekit.net/lae6hxw.css	(from https://www.bratgenerator.com/)
08:56:09	5052/5052	---M-Z	200	added ('OK')	text/css	etag:%2213bc-65794c2d85e00-gzip%22	https://libraries.wmgartistservices.com/owlcarousel/owl.carousel.css	/storage/emulated/0/HTTrack/Websites/bratgen/libraries.wmgartistservices.com/owlcarousel/owl.carousel.css	(from https://www.bratgenerator.com/)
08:56:12	1277/1277	---M-Z	200	added ('OK')	text/css	etag:%224fd-65794c2d85e00-gzip%22	https://libraries.wmgartistservices.com/owlcarousel/owl.theme.default.min.css	/storage/emulated/0/HTTrack/Websites/bratgen/libraries.wmgartistservices.com/owlcarousel/owl.theme.default.min.css	(from https://www.bratgenerator.com/)
08:56:12	2479/2479	---M--	200	added ('OK')	image/jpeg	date:Tue,%2011%20Jun%202024%2011:36:05%20GMT	https://www.bratgenerator.com/sites/g/files/g2000017981/files/favicon_96.jpg	/storage/emulated/0/HTTrack/Websites/bratgen/www.bratgenerator.com/sites/g/files/g2000017981/files/favicon_96.jpg	(from https://www.bratgenerator.com/)
08:56:14	26819/26819	---M-Z	200	added ('OK')	application/javascript	etag:0x8DEE8E42753B203	https://cdn.cookielaw.org/scripttemplates/otSDKStub.js	/storage/emulated/0/HTTrack/Websites/bratgen/cdn.cookielaw.org/scripttemplates/otSDKStub.js	(from https://www.bratgenerator.com/)
08:56:16	11704/11704	---M-Z	200	added ('OK')	text/css	etag:%222db8-6573ffbd72100-gzip%22	https://www.wminewmedia.com/cookies-policy/onetrust/ot.css	/storage/emulated/0/HTTrack/Websites/bratgen/www.wminewmedia.com/cookies-policy/onetrust/ot.css	(from https://www.bratgenerator.com/)
08:56:23	88145/88145	---M-Z	200	added ('OK')	text/javascript	etag:%2215851-65794c2d85e00-gzip%22	https://libraries.wmgartistservices.com/jslibrary/jquery.min.js	/storage/emulated/0/HTTrack/Websites/bratgen/libraries.wmgartistservices.com/jslibrary/jquery.min.js	(from https://www.bratgenerator.com/)
08:56:24	16847/16847	---M-Z	200	added ('OK')	text/javascript	etag:%2241cf-65794c2e7a040-gzip%22	https://libraries.wmgartistservices.com/songkick/widget_min.js?gfg	/storage/emulated/0/HTTrack/Websites/bratgen/libraries.wmgartistservices.com/songkick/widget_min9ef5.js	(from https://www.bratgenerator.com/)
08:56:25	550663/550663	---MCZ	200	added ('OK')	application/x-javascript	etag:%22264fffe701922a0af0507176a1b221f0:1783965226.669748%22	http://assets.adobedtm.com/launch-EN302b8a31b75a4dda8ff8df1d0cdb4762.min.js	/storage/emulated/0/HTTrack/Websites/bratgen/assets.adobedtm.com/launch-EN302b8a31b75a4dda8ff8df1d0cdb4762.min.js	(from https://www.bratgenerator.com/)
08:56:25	5909/5909	---M-Z	200	added ('OK')	text/javascript	etag:%221715-65794c2d85e00-gzip%22	https://libraries.wmgartistservices.com/custom-js/mailing-list/dtm.js	/storage/emulated/0/HTTrack/Websites/bratgen/libraries.wmgartistservices.com/custom-js/mailing-list/dtm.js	(from https://www.bratgenerator.com/)
08:56:27	4829/4829	---M-Z	200	added ('OK')	text/javascript	etag:%2212dd-65794c2d85e00-gzip%22	https://libraries.wmgartistservices.com/custom-js/YTDTM/YTFns.js	/storage/emulated/0/HTTrack/Websites/bratgen/libraries.wmgartistservices.com/custom-js/YTDTM/YTFns.js	(from https://www.bratgenerator.com/)
08:56:29	48206/48206	---M-Z	200	added ('OK')	text/javascript	etag:%22bc4e-65794c2d85e00-gzip%22	https://libraries.wmgartistservices.com/owlcarousel/owl.carousel.min.js	/storage/emulated/0/HTTrack/Websites/bratgen/libraries.wmgartistservices.com/owlcarousel/owl.carousel.min.js	(from https://www.bratgenerator.com/)
